id,code
1,37010
2,37011
3,37012
4,37013
5,37014
6,37015
7,37016
8,37018
9,37019
10,37020
11,37022
12,37023
13,37024
14,37025
15,37026
16,37027
17,37028
18,37029
19,37030
20,37031
21,37032
22,37033
23,37034
24,37035
25,37036
26,37037
27,37040
28,37041
29,37042
30,37043
31,37044
32,37046
33,37047
34,37048
35,37049
36,37050
37,37051
38,37052
39,37055
40,37056
41,37057
42,37058
43,37059
44,37060
45,37061
46,37062
47,37063
48,37064
49,37065
50,37066
51,37067
52,37068
53,37069
54,37070
55,37071
56,37072
57,37073
58,37074
59,37075
60,37076
61,37077
62,37078
63,37079
64,37080
65,37082
66,37083
67,37085
68,37086
69,37087
70,37088
71,37089
72,37090
73,37091
74,37095
75,37096
76,37097
77,37098
78,37101
79,37110
80,37111
81,37115
82,37116
83,37118
84,37119
85,37121
86,37122
87,37127
88,37128
89,37129
90,37130
91,37131
92,37132
93,37133
94,37134
95,37135
96,37136
97,37137
98,37138
99,37140
100,37141
101,37142
102,37143
103,37144
104,37145
105,37146
106,37148
107,37149
108,37150
109,37151
110,37152
111,37153
112,37160
113,37161
114,37162
115,37165
116,37166
117,37167
118,37171
119,37172
120,37174
121,37175
122,37178
123,37179
124,37180
125,37181
126,37183
127,37184
128,37185
129,37186
130,37187
131,37188
132,37189
133,37190
134,37191
135,37201
136,37202
137,37203
138,37204
139,37205
140,37206
141,37207
142,37208
143,37209
144,37210
145,37211
146,37212
147,37213
148,37214
149,37215
150,37216
151,37217
152,37218
153,37219
154,37220
155,37221
156,37222
157,37224
158,37227
159,37228
160,37229
161,37230
162,37232
163,37234
164,37235
165,37236
166,37237
167,37238
168,37240
169,37241
170,37242
171,37243
172,37244
173,37245
174,37246
175,37247
176,37248
177,37249
178,37250
179,37301
180,37302
181,37303
182,37304
183,37305
184,37306
185,37307
186,37308
187,37309
188,37310
189,37311
190,37312
191,37313
192,37314
193,37315
194,37316
195,37317
196,37318
197,37320
198,37321
199,37322
200,37323
201,37324
202,37325
203,37326
204,37327
205,37328
206,37329
207,37330
208,37331
209,37332
210,37333
211,37334
212,37335
213,37336
214,37337
215,37338
216,37339
217,37340
218,37341
219,37342
220,37343
221,37345
222,37347
223,37348
224,37349
225,37350
226,37351
227,37352
228,37353
229,37354
230,37355
231,37356
232,37357
233,37359
234,37360
235,37361
236,37362
237,37363
238,37364
239,37365
240,37366
241,37367
242,37369
243,37370
244,37371
245,37373
246,37374
247,37375
248,37376
249,37377
250,37378
251,37379
252,37380
253,37381
254,37382
255,37383
256,37384
257,37385
258,37387
259,37388
260,37389
261,37391
262,37394
263,37396
264,37397
265,37398
266,37401
267,37402
268,37403
269,37404
270,37405
271,37406
272,37407
273,37408
274,37409
275,37410
276,37411
277,37412
278,37414
279,37415
280,37416
281,37419
282,37421
283,37422
284,37424
285,37450
286,37501
287,37544
288,37601
289,37602
290,37604
291,37605
292,37614
293,37615
294,37616
295,37617
296,37618
297,37620
298,37621
299,37625
300,37640
301,37641
302,37642
303,37643
304,37644
305,37645
306,37650
307,37656
308,37657
309,37658
310,37659
311,37660
312,37662
313,37663
314,37664
315,37665
316,37669
317,37680
318,37681
319,37682
320,37683
321,37684
322,37686
323,37687
324,37688
325,37690
326,37691
327,37692
328,37694
329,37699
330,37701
331,37705
332,37707
333,37708
334,37709
335,37710
336,37711
337,37713
338,37714
339,37715
340,37716
341,37717
342,37719
343,37721
344,37722
345,37723
346,37724
347,37725
348,37726
349,37727
350,37729
351,37730
352,37731
353,37732
354,37733
355,37737
356,37738
357,37742
358,37743
359,37744
360,37745
361,37748
362,37752
363,37753
364,37754
365,37755
366,37756
367,37757
368,37760
369,37762
370,37763
371,37764
372,37765
373,37766
374,37769
375,37770
376,37771
377,37772
378,37773
379,37774
380,37777
381,37778
382,37779
383,37801
384,37802
385,37803
386,37804
387,37806
388,37807
389,37809
390,37810
391,37811
392,37813
393,37814
394,37815
395,37816
396,37818
397,37819
398,37820
399,37821
400,37822
401,37824
402,37825
403,37826
404,37828
405,37829
406,37830
407,37831
408,37840
409,37841
410,37843
411,37845
412,37846
413,37847
414,37848
415,37849
416,37851
417,37852
418,37853
419,37854
420,37857
421,37860
422,37861
423,37862
424,37863
425,37864
426,37865
427,37866
428,37867
429,37868
430,37869
431,37870
432,37871
433,37872
434,37873
435,37874
436,37876
437,37877
438,37878
439,37879
440,37880
441,37881
442,37882
443,37885
444,37886
445,37887
446,37888
447,37890
448,37891
449,37892
450,37901
451,37902
452,37909
453,37912
454,37914
455,37915
456,37916
457,37917
458,37918
459,37919
460,37920
461,37921
462,37922
463,37923
464,37924
465,37927
466,37928
467,37929
468,37930
469,37931
470,37932
471,37933
472,37934
473,37938
474,37939
475,37940
476,37950
477,37990
478,37995
479,37996
480,37997
481,37998
482,38001
483,38002
484,38004
485,38006
486,38007
487,38008
488,38010
489,38011
490,38012
491,38014
492,38015
493,38016
494,38017
495,38018
496,38019
497,38021
498,38023
499,38024
500,38025
501,38027
502,38028
503,38029
504,38030
505,38034
506,38036
507,38037
508,38039
509,38040
510,38041
511,38042
512,38044
513,38045
514,38046
515,38047
516,38048
517,38049
518,38050
519,38052
520,38053
521,38054
522,38055
523,38057
524,38058
525,38059
526,38060
527,38061
528,38063
529,38066
530,38067
531,38068
532,38069
533,38070
534,38071
535,38075
536,38076
537,38077
538,38079
539,38080
540,38083
541,38088
542,38101
543,38103
544,38104
545,38105
546,38106
547,38107
548,38108
549,38109
550,38110
551,38111
552,38112
553,38113
554,38114
555,38115
556,38116
557,38117
558,38118
559,38119
560,38120
561,38122
562,38124
563,38125
564,38126
565,38127
566,38128
567,38130
568,38131
569,38132
570,38133
571,38134
572,38135
573,38136
574,38137
575,38138
576,38139
577,38141
578,38142
579,38145
580,38147
581,38148
582,38150
583,38151
584,38152
585,38157
586,38159
587,38161
588,38163
589,38165
590,38166
591,38167
592,38168
593,38173
594,38174
595,38175
596,38177
597,38181
598,38182
599,38183
600,38184
601,38186
602,38187
603,38188
604,38190
605,38193
606,38194
607,38197
608,38201
609,38220
610,38221
611,38222
612,38223
613,38224
614,38225
615,38226
616,38229
617,38230
618,38231
619,38232
620,38233
621,38235
622,38236
623,38237
624,38238
625,38240
626,38241
627,38242
628,38251
629,38253
630,38254
631,38255
632,38256
633,38257
634,38258
635,38259
636,38260
637,38261
638,38271
639,38281
640,38301
641,38302
642,38303
643,38305
644,38308
645,38310
646,38311
647,38313
648,38314
649,38315
650,38316
651,38317
652,38318
653,38320
654,38321
655,38324
656,38326
657,38327
658,38328
659,38329
660,38330
661,38331
662,38332
663,38333
664,38334
665,38336
666,38337
667,38338
668,38339
669,38340
670,38341
671,38342
672,38343
673,38344
674,38345
675,38346
676,38347
677,38348
678,38351
679,38352
680,38355
681,38356
682,38357
683,38358
684,38359
685,38361
686,38362
687,38363
688,38365
689,38366
690,38367
691,38368
692,38369
693,38370
694,38371
695,38372
696,38374
697,38375
698,38376
699,38377
700,38378
701,38379
702,38380
703,38381
704,38382
705,38387
706,38388
707,38389
708,38390
709,38391
710,38392
711,38393
712,38401
713,38402
714,38425
715,38449
716,38450
717,38451
718,38452
719,38453
720,38454
721,38455
722,38456
723,38457
724,38459
725,38460
726,38461
727,38462
728,38463
729,38464
730,38468
731,38469
732,38471
733,38472
734,38473
735,38474
736,38475
737,38476
738,38477
739,38478
740,38481
741,38482
742,38483
743,38485
744,38486
745,38487
746,38488
747,38501
748,38502
749,38503
750,38504
751,38505
752,38506
753,38541
754,38542
755,38543
756,38544
757,38545
758,38547
759,38548
760,38549
761,38550
762,38551
763,38552
764,38553
765,38554
766,38555
767,38556
768,38557
769,38558
770,38559
771,38560
772,38562
773,38563
774,38564
775,38565
776,38567
777,38568
778,38569
779,38570
780,38571
781,38572
782,38573
783,38574
784,38575
785,38577
786,38578
787,38579
788,38580
789,38581
790,38582
791,38583
792,38585
793,38587
794,38588
795,38589
